# ข้อความเมนูของ Master Looter ภาษาไทย
# นี่คือคำแปลด้วยเครื่อง ยังไม่มี
# เจ้าของภาษาตรวจทานเลย ยินดีรับคำแก้ไขที่ GitHub
# (github.com/shin2344234/master-looter) หรือที่หน้า Nexus ของม็อด
#
# หนึ่งบรรทัดต่อหนึ่งข้อความ: ภาษาอังกฤษต้นฉบับ ตามด้วยแท็บ แล้วตามด้วยคำแปล
# บรรทัดที่ขึ้นต้นด้วย # จะถูกข้าม \n หมายถึงการขึ้นบรรทัดใหม่ และบรรทัดที่ไม่มี
# คำแปลต่อจากแท็บจะยังคงแสดงเป็นภาษาอังกฤษ ซึ่งใช้งานได้ตามปกติแม้แปลไม่ครบ
# ต้องคงสัญลักษณ์ %d, %s, %.1f และอื่น ๆ ไว้ตามลำดับเดิมเสมอ เพราะค่าตัวเลขและ
# ชื่อจะถูกแทนที่ลงไปตอนเกมทำงาน บรรทัดที่เปลี่ยนสัญลักษณ์เหล่านี้จะถูกข้ามไป
#
# ไฟล์นี้เมื่อวางไว้ชื่อ MasterLooter.th.txt ข้างปลั๊กอิน จะแทนที่ชุดคำแปลที่
# มากับตัวปลั๊กอินโดยอัตโนมัติ

  bag full	  กระเป๋าเต็ม
Private Storage Master refused the change	Private Storage Master ปฏิเสธการเปลี่ยนแปลงนี้
Private Storage Master: %s	Private Storage Master: %s
PrivateStorageAnywhere.asi is also installed. The two change the same parts of the game; remove that one.	PrivateStorageAnywhere.asi ก็ติดตั้งอยู่ด้วย ทั้งสองแก้ไขส่วนเดียวกันของเกม ให้ลบตัวนั้นออก
Put what Master Looter picks up into storage	นำของที่ Master Looter เก็บมาใส่ลงคลัง
read from the save	อ่านจากเซฟ
Reload from the ini	โหลดใหม่จากไฟล์ ini
Remove	ลบ
Reset to defaults	รีเซ็ตเป็นค่าเริ่มต้น
Searching a body or a carcass hands over everything it holds, and the mod only sees it once it is in the bag. On: whatever of that your item rules, tags, classes or value floor refuse is put straight back on the ground beside you, through the same drop the game uses when you drop something yourself, one pile per stack. It covers the mod's own searches and the bodies a pet or a companion loots, whose refused items land beside you as well. A body you search yourself keeps what it paid. Money, documents, quest items and protected items stay in the bag.	การค้นศพหรือซากสัตว์จะส่งมอบทุกอย่างที่มันมีมาทั้งหมด และมอดจะเห็นมันก็ต่อเมื่อมันเข้ามาอยู่ในกระเป๋าแล้วเท่านั้น เมื่อเปิด: สิ่งใดในนั้นที่กฎไอเทม แท็ก ประเภท หรือขั้นต่ำของมูลค่าของคุณปฏิเสธ จะถูกวางกลับลงพื้นข้างตัวคุณทันที ผ่านการทำของหล่นแบบเดียวกับที่เกมใช้เมื่อคุณทิ้งของด้วยตัวเอง หนึ่งกองต่อหนึ่งสแตก ซึ่งครอบคลุมทั้งการค้นของมอดเองและศพที่สัตว์เลี้ยงหรือเพื่อนร่วมทางเก็บของ ซึ่งไอเทมที่ถูกปฏิเสธจะตกลงข้างตัวคุณเช่นกัน ศพที่คุณค้นด้วยตัวเองจะยังคงสิ่งที่มันจ่ายไว้ เงิน เอกสาร ไอเทมเควสต์ และไอเทมที่ถูกป้องกันจะยังอยู่ในกระเป๋า
Searching the people you kill, once per body. Animals go under Carcasses. What a search pays out arrives before your filters see it, the same as a carcass, and Drop refused loot from bodies under General puts back down what they refuse.	การค้นตัวคนที่คุณฆ่า หนึ่งครั้งต่อศพ สัตว์อยู่ในหมวด ซากสัตว์ สิ่งที่ได้จากการค้นตัวจะมาถึงก่อนที่ตัวกรองของคุณจะเห็นมัน เช่นเดียวกับซากสัตว์ และสวิตช์ทำของที่ถูกปฏิเสธจากศพหล่นคืนพื้น ในหมวดทั่วไปจะวางสิ่งที่ถูกปฏิเสธกลับลงพื้น
set	ตั้งค่าแล้ว
set this launch	ตั้งค่าไว้สำหรับการเปิดเกมครั้งนี้
Settings file	ไฟล์การตั้งค่า
Show a notice when loot is stored	แสดงข้อความเมื่อของถูกเก็บลงคลัง
Size changes take effect the next time the game starts.	การเปลี่ยนขนาดจะมีผลในการเริ่มเกมครั้งถัดไป
Sizes	ขนาด
Skinning the animals you kill, once per carcass. People go under Bodies. The mod never sees what skinning pays out before it lands, so your filters cannot stop it arriving. To have what they refuse put back on the ground, turn on Drop refused loot from bodies under General.	การถลกหนังสัตว์ที่คุณฆ่า หนึ่งครั้งต่อซาก คนอยู่ในหมวด ศพ มอดไม่เคยเห็นสิ่งที่ได้จากการถลกหนังก่อนที่มันจะมาถึง ตัวกรองของคุณจึงหยุดมันไม่ให้เข้ามาไม่ได้ หากต้องการให้สิ่งที่ถูกปฏิเสธถูกวางกลับลงพื้น ให้เปิดสวิตช์ทำของที่ถูกปฏิเสธจากศพหล่นคืนพื้น ในหมวดทั่วไป
Some changes take effect the next time the game starts.	การเปลี่ยนแปลงบางอย่างจะมีผลในการเริ่มเกมครั้งถัดไป
Stop pets looting bodies	ห้ามสัตว์เลี้ยงเก็บของจากศพ
Stop pets picking up loose items	ห้ามสัตว์เลี้ยงเก็บไอเทมที่ตกอยู่บนพื้น
Storage	คลัง
Storage keys	ปุ่มคลัง
Storage sizes	ขนาดคลัง
Store loot	เก็บของลงคลัง
Store what your pet loots from bodies	เก็บสิ่งที่สัตว์เลี้ยงของคุณเก็บจากศพลงคลัง
Storing loot needs a newer Private Storage Master.	การเก็บของลงคลังต้องใช้ Private Storage Master เวอร์ชันใหม่กว่านี้
the size dump	ข้อมูลดัมป์ขนาด
The game asks before a pet takes an item lying on the ground, and this answers no. The pet walks past it and nothing needs deleting afterwards. Whether a mercenary asks the same question has not been tested.	เกมจะถามก่อนที่สัตว์เลี้ยงจะหยิบไอเทมที่วางอยู่บนพื้น และตัวเลือกนี้ตอบว่าไม่ สัตว์เลี้ยงจะเดินผ่านไปโดยไม่หยิบ และหลังจากนั้นก็ไม่จำเป็นต้องลบอะไรเลย ส่วนทหารรับจ้างจะถามคำถามเดียวกันหรือไม่นั้นยังไม่ได้ทดสอบ
The game asks separately before a pet loots a body, and this answers no. Turn on one of the two and not the other if you want a pet stripping corpses but not collecting loose items, or the other way round.	เกมจะถามแยกต่างหากก่อนที่สัตว์เลี้ยงจะเก็บของจากศพ และตัวเลือกนี้ตอบว่าไม่ เปิดใช้เพียงตัวเดียวจากสองตัวนี้หากต้องการให้สัตว์เลี้ยงปล้นศพได้แต่ไม่เก็บไอเทมที่ตกอยู่บนพื้น หรือกลับกัน
The key bindings were brought over from PrivateStorageAnywhere.ini on the first run.	การผูกปุ่มถูกนำมาจาก PrivateStorageAnywhere.ini ในการรันครั้งแรก
the key-block toggle	สวิตช์การกันปุ่ม
The list is full at %d items.	รายการเต็มแล้วที่ %d ไอเทม
The total, purchased expansions and story slots included. The left end keeps the game's size.	ยอดรวม รวมถึงส่วนขยายที่ซื้อและช่องจากเนื้อเรื่องด้วย ปลายด้านซ้ายจะคงขนาดของเกมไว้
This chest holds one of each collectible, so its slots cannot be changed.	หีบนี้เก็บของสะสมอย่างละหนึ่งชิ้น ดังนั้นช่องของมันจึงเปลี่ยนแปลงไม่ได้
This tab needs a build of Private Storage Master that matches this version of Master Looter.	แท็บนี้ต้องใช้ Private Storage Master รุ่นที่ตรงกับเวอร์ชันนี้ของ Master Looter
Turn that on and off	เปิดและปิดตัวเลือกนั้น
While Ctrl, or any modifier your storage keys use, is held, other keys are kept from the game, so a slip off a storage key does not fire a skill. Movement, Space, Tab, Enter, Escape, Alt+F4 and the keys the game uses with Ctrl (Z, Shift, +) still go through.	ขณะกด Ctrl หรือปุ่มร่วมใด ๆ ที่ปุ่มคลังของคุณใช้ค้างไว้ ปุ่มอื่นจะถูกกันไม่ให้ส่งถึงเกม เพื่อไม่ให้การพลาดกดปุ่มคลังไปกระตุ้นสกิล การเคลื่อนที่, Space, Tab, Enter, Escape, Alt+F4 และปุ่มที่เกมใช้ร่วมกับ Ctrl (Z, Shift, +) ยังคงส่งผ่านไปได้ตามปกติ
working	กำลังทำงาน
Write the size dump to the log	เขียนข้อมูลดัมป์ขนาดลงในบันทึก
Writes every key press, open and close to PrivateStorageMaster.log, and keeps the last 24 sessions. Off, the log keeps the startup summary, errors and the size dump, and the last two sessions.	บันทึกการกดปุ่ม การเปิด และการปิดทุกครั้งลงใน PrivateStorageMaster.log และเก็บไว้ 24 เซสชันล่าสุด ปิด บันทึกจะเก็บสรุปการเริ่มทำงาน ข้อผิดพลาด และข้อมูลดัมป์ขนาด และเก็บไว้เพียงสองเซสชันล่าสุด
Writes every key press, open and close to PrivateStorageMaster.log. Off, the log keeps the startup summary, errors and the size dump.	บันทึกการกดปุ่ม การเปิด และการปิดทุกครั้งลงใน PrivateStorageMaster.log ปิด บันทึกจะเก็บสรุปการเริ่มทำงาน ข้อผิดพลาด และข้อมูลดัมป์ขนาด
your own camp farm (off)	ฟาร์มแคมป์ของคุณเอง (ปิด)
%d of %d, the rest do not stack	%d จาก %d ส่วนที่เหลือไม่สแตกกัน
%s %s for game build %s	%s %s สำหรับเกมบิลด์ %s
%s refused the change: %s	%s ปฏิเสธการเปลี่ยนแปลง: %s
Empty your big stacks before turning this down or off.	เทสแตกก้อนใหญ่ของคุณให้ว่างก่อนที่จะลดค่านี้ลงหรือปิดมัน
Every stackable item's limit is multiplied when the game starts. The setting is saved in that mod's own ini as soon as you pick it.	ขีดจำกัดของไอเทมที่สแตกได้ทุกชิ้นจะถูกคูณตอนเกมเริ่มทำงาน การตั้งค่านี้จะถูกบันทึกลงใน ini ของมอดนั้นเองทันทีที่คุณเลือก
Item stacks: %s	สแตกไอเทม: %s
Items raised	ไอเทมที่ถูกเพิ่ม
Largest limit	ขีดจำกัดสูงสุด
Lowering the multiplier does not shrink a stack you already built. A slot holding more than the game now allows keeps what is in it until you take some out, and anything above the new limit can be lost.	การลดตัวคูณจะไม่ทำให้สแตกที่คุณสร้างไว้แล้วเล็กลง ช่องที่มีของมากกว่าที่เกมอนุญาตในตอนนี้จะยังคงเก็บของไว้จนกว่าคุณจะเอาออกไปบ้าง และของที่เกินขีดจำกัดใหม่อาจสูญหายได้
Off	ปิด
off	ปิด
Raising stack limits	การเพิ่มขีดจำกัดสแตก
Restart the game for the multiplier you picked to take effect.	รีสตาร์ทเกมเพื่อให้ตัวคูณที่คุณเลือกมีผล
Saved	บันทึกแล้ว
Stack multiplier	ตัวคูณสแตก
Stacks	สแตก
stacks are the size the game ships	สแตกมีขนาดเท่าตอนเกมวางจำหน่าย
That mod did not hand over its stack settings.	มอดนั้นไม่ได้ส่งมอบการตั้งค่าสแตกของมันมา
This launch	การเปิดเกมครั้งนี้
This tab needs Stack Master, or a build of Private Storage Master that raises stack limits.	แท็บนี้ต้องการ Stack Master หรือ Private Storage Master รุ่นที่เพิ่มขีดจำกัดสแตก
Why	ทำไม
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. The multiplier is read when the game starts, so the game has to be restarted before it shows.	ของส่วนใหญ่ในเกมให้คุณสแตกได้ถึง 100 ชิ้น ดังนั้นที่ x10 จะเก็บได้ 1000 ชิ้น มีผลกับทุกอย่างที่สแตกได้ และไม่มีผลกับสิ่งที่สแตกไม่ได้ เช่น อาวุธและชุดเกราะ และสแตกที่ลึกที่สุดในเกมจะหยุดอยู่ที่ขีดจำกัดที่มอดนั้นรายงานไว้ด้านบน ตัวคูณนี้จะถูกอ่านตอนเกมเริ่มทำงาน จึงต้องรีสตาร์ทเกมก่อนจึงจะเห็นผล
Some items reached the largest stack that mod allows, %d, and stopped there.	ไอเทมบางชิ้นถึงสแตกใหญ่ที่สุดที่มอดนั้นอนุญาต %d แล้วหยุดอยู่ตรงนั้น
x%d, by %s	x%d โดย %s
%s has stood aside for another mod, so changing it here would do nothing. That mod is not one this menu can reach, so set the multiplier in it directly.	%s ได้หลีกทางให้มอดอื่นแล้ว การเปลี่ยนค่านี้ที่นี่จึงไม่มีผลใดๆ มอดนั้นไม่ใช่มอดที่เมนูนี้เข้าถึงได้ จึงต้องตั้งค่าตัวคูณที่มอดนั้นโดยตรง
%s is not the mod setting stack sizes, so changing it here would do nothing. Set the multiplier in %s instead.	%s ไม่ใช่มอดที่กำหนดขนาดสแตก การเปลี่ยนค่านี้ที่นี่จึงไม่มีผลใดๆ ให้ตั้งค่าตัวคูณที่ %s แทน
A bigger multiplier takes hold as soon as you pick it. A smaller one waits for the next launch.	ตัวคูณที่มากขึ้นจะมีผลทันทีที่คุณเลือก ส่วนตัวที่น้อยกว่าจะรอจนกว่าจะเริ่มเกมครั้งถัดไป
Most things the game lets you stack 100 of, so at x10 they hold 1000. It applies to everything that stacks and never to what does not, like weapons and armour, and the deepest stacks in the game stop at the limit that mod reports above. Picking a bigger multiplier takes hold at once; a smaller one waits for the next launch, because a stack already built cannot be shrunk under what is in it.	ของส่วนใหญ่ในเกมให้คุณสแตกได้ถึง 100 ชิ้น ดังนั้นที่ x10 จะเก็บได้ 1000 ชิ้น มีผลกับทุกอย่างที่สแตกได้ และไม่มีผลกับสิ่งที่สแตกไม่ได้ เช่น อาวุธและชุดเกราะ และสแตกที่ลึกที่สุดในเกมจะหยุดอยู่ที่ขีดจำกัดที่มอดนั้นรายงานไว้ด้านบน การเลือกตัวคูณที่มากขึ้นจะมีผลทันที ส่วนตัวที่น้อยกว่าจะรอจนกว่าจะเริ่มเกมครั้งถัดไป เพราะสแตกที่สร้างไว้แล้วไม่สามารถลดขนาดให้เล็กกว่าจำนวนที่มีอยู่ในนั้นได้
Waiting for a restart, or pick it again out in the world and it takes hold at once.	กำลังรอการรีสตาร์ท หรือเลือกมันอีกครั้งขณะอยู่ในโลกเกม แล้วจะมีผลทันที
you dropped this	คุณทิ้งไว้เอง
A creature the game gives no item of its own, such as a Firefly Colony, is judged by this switch and by the Classes tab, where a Firefly Colony counts as insect. No tag or item rule can reach it, because there is no item to check one against.	สิ่งมีชีวิตที่เกมไม่ได้ให้ไอเทมของมันเอง เช่น ฝูงหิ่งห้อย จะถูกตัดสินด้วยสวิตช์นี้และแท็บประเภท ซึ่งฝูงหิ่งห้อยนับเป็น insect กฎแท็กหรือไอเทมใดก็เอื้อมไม่ถึง เพราะไม่มีไอเทมให้เทียบ
Since Private Storage Master 1.1.4 the Arrow is on it by default as well, so arrows you pick back up stay in the quiver.	ตั้งแต่ Private Storage Master 1.1.4 เป็นต้นไป Arrow ก็อยู่ในรายการตั้งแต่แรกด้วย ลูกธนูที่คุณเก็บกลับมาจึงอยู่ในซองธนูต่อ
a placed Field Pot or Bonfire	หม้อสนามหรือกองไฟที่วางไว้
Keep the menu on screen while you play. %s brings it back.	เปิดเมนูค้างไว้ขณะเล่น กด %s เพื่อเรียกกลับมา
Watch mode: the game has your controls. %s to interact.	โหมดเฝ้าดู: เกมควบคุมอยู่ กด %s เพื่อโต้ตอบ
One key on its own. Ctrl and Alt combinations are never read, because these keys stay quiet while Ctrl or Alt is held.	ใช้ปุ่มเดียวเดี่ยว ๆ ระบบไม่อ่านปุ่มผสมกับ Ctrl หรือ Alt เพราะปุ่มเหล่านี้จะไม่ทำงานขณะกด Ctrl หรือ Alt ค้างไว้
a crafting station	สถานีประดิษฐ์
